title;artist;year released;bpm;dur;artist type;top genre;liking
STARSTRUKK (feat. Katy Perry);3OH!3;2009;140;203;Duo;dance pop;0
My First Kiss (feat. Ke$ha);3OH!3;2010;138;192;Duo;dance pop;0
I Need A Dollar;Aloe Blacc;2010;95;243;Solo;pop soul;0
Airplanes (feat. Hayley Williams of Paramore);B.o.B;2010;93;180;Solo;atl hip hop;1
Nothin' on You (feat. Bruno Mars);B.o.B;2010;104;268;Solo;atl hip hop;1
Magic (feat. Rivers Cuomo);B.o.B;2010;82;196;Solo;atl hip hop;1
The Time (Dirty Bit);Black Eyed Peas;2010;128;308;Band;dance pop;0
Imma Be;Black Eyed Peas;2009;92;258;Band;dance pop;0
Talking to the Moon;Bruno Mars;2010;146;218;Solo;dance pop;0
Just the Way You Are;Bruno Mars;2010;109;221;Solo;dance pop;0
Teach Me How to Dougie;Cali Swag District;2011;85;237;Band;pop rap;1
Forget You;CeeLo Green;2010;127;223;Solo;atl hip hop;0
Deuces (feat. Tyga & Kevin McCall);Chris Brown;2011;74;277;Solo;dance pop;1
Memories (feat. Kid Cudi);David Guetta;2009;130;210;Solo;big room;0
Gettin' Over You (feat. Fergie & LMFAO);David Guetta;2009;130;188;Solo;big room;0
All I Do Is Win (feat. T-Pain Ludacris Snoop Dogg & Rick Ross);DJ Khaled;2010;150;233;Solo;dance pop;1
Over;Drake;2010;100;234;Solo;canadian hip hop;1
Find Your Love;Drake;2010;96;209;Solo;canadian hip hop;1
Barbra Streisand (Radio Edit);Duck Sauce;2010;128;195;Duo;disco house;0
Stereo Love - Radio Edit;Edward Maya;2010;127;185;Solo;romanian house;0
Pack Up;Eliza Doolittle;2010;133;191;Solo;lilith;0
Starry Eyed;Ellie Goulding;2010;150;177;Solo;dance pop;0
Love The Way You Lie;Eminem;2010;87;263;Solo;detroit hip hop;1
Not Afraid;Eminem;2010;115;248;Solo;detroit hip hop;1
I Like It;Enrique Iglesias;2010;129;232;Solo;dance pop;0
Kickstarts;Example;2010;126;182;Solo;dance pop;0
Like A G6;Far East Movement;2010;125;217;Band;asian american hip hop;0
Club Can't Handle Me (feat. David Guetta);Flo Rida;2010;128;235;Solo;dance pop;0
Hot - Malibu Breeze Radio Edit;INNA;2010;128;224;Solo;dance pop;0
Replay;Iyaz;2009;91;182;Solo;dance pop;0
Whatcha Say;Jason Derulo;2010;144;221;Solo;dance pop;0
Ridin' Solo;Jason Derulo;2010;89;216;Solo;dance pop;0
In My Head;Jason Derulo;2010;110;199;Solo;dance pop;0
Down;Jay Sean;2009;132;213;Solo;dance pop;0
Do You Remember;Jay Sean;2009;126;211;Solo;dance pop;0
Young Forever;JAY-Z;2009;140;254;Solo;east coast hip hop;1
Heartbreak Warfare;John Mayer;2009;97;270;Solo;neo mellow;0
Half of My Heart;John Mayer;2009;115;250;Solo;neo mellow;0
Baby;Justin Bieber;2010;65;214;Solo;canadian pop;1
California Gurls;Katy Perry;2012;125;235;Solo;dance pop;0
Teenage Dream;Katy Perry;2010;120;228;Solo;dance pop;0
Commander;Kelly Rowland;2011;125;218;Solo;atl hip hop;0
TiK ToK;Kesha;2010;120;200;Solo;dance pop;0
Your Love Is My Drug;Kesha;2010;120;187;Solo;dance pop;0
Take It Off;Kesha;2010;125;215;Solo;dance pop;0
Blah Blah Blah (feat. 3OH!3);Kesha;2010;120;172;Solo;dance pop;0
Wavin' Flag;K'NAAN;2009;76;221;Solo;reggae fusion;0
Live Like We're Dying;Kris Allen;2009;92;213;Solo;idol;0
Bad Romance;Lady Gaga;2009;119;295;Solo;art pop;0
Telephone;Lady Gaga;2009;122;221;Solo;art pop;0
Alejandro;Lady Gaga;2009;99;274;Solo;art pop;0
Right Above It;Lil Wayne;2010;76;272;Solo;hip hop;1
My Chick Bad;Ludacris;2010;85;217;Solo;atl hip hop;1
How Low;Ludacris;2010;144;202;Solo;atl hip hop;1
Misery;Maroon 5;2010;103;216;Band;pop;0
When We Collide;Matt Cardle;2011;82;226;Solo;talent show;0
Cooler Than Me - Single Mix;Mike Posner;2010;130;213;Solo;dance pop;0
Can't Be Tamed;Miley Cyrus;2010;117;168;Solo;dance pop;0
Animal;Neon Trees;2010;148;212;Band;modern alternative rock;0
Fireflies;Owl City;2009;180;228;Band;indietronica;0
She Said;Plan B;2010;147;211;Duo;grime;0
Only Girl (In The World);Rihanna;2010;126;235;Solo;barbadian pop;0
Rude Boy;Rihanna;2009;174;223;Solo;barbadian pop;0
What's My Name?;Rihanna;2010;100;263;Solo;barbadian pop;0
Man Down;Rihanna;2010;156;267;Solo;barbadian pop;0
Hard;Rihanna;2009;182;251;Solo;barbadian pop;0
Dancing On My Own - Radio Edit;Robyn;2010;117;278;Solo;art pop;1
King of Anything;Sara Bareilles;2010;119;207;Solo;acoustic pop;1
This Ain't a Love Song;Scouting For Girls;2017;177;211;Band;dance pop;0
Eenie Meenie;Sean Kingston;2020;121;202;Solo;dance pop;0
Riverside;Sidney Samson;2009;126;321;Solo;dutch house;0
Alors on danse - Radio Edit;Stromae;2010;120;206;Solo;belgian pop;1
Stuck Like Glue;Sugarland;2010;84;248;Duo;contemporary country;0
One - Radio Edit;Swedish House Mafia;2010;125;170;Band;dance pop;1
Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah;Swedish House Mafia;2010;125;206;Band;dance pop;1
Dynamite;Taio Cruz;2010;120;203;Solo;dance pop;0
Break Your Heart;Taio Cruz;2010;122;202;Solo;dance pop;0
The Flood;Take That;2010;101;289;Band;boy band;0
Back To December;Taylor Swift;2010;142;293;Solo;pop;0
Mine;Taylor Swift;2010;121;231;Solo;pop;0
Today Was A Fairytale;Taylor Swift;2011;158;242;Solo;pop;0
If I Die Young;The Band Perry;2010;131;223;Band;contemporary country;0
For the First Time;The Script;2011;174;253;Band;celtic rock;0
All Time Low;The Wanted;2010;134;205;Band;boy band;0
Seek Bromance (Avicii Vocal Edit);Tim Berg;2010;126;201;Solo;edm;1
Carry Out (Featuring Justin Timberlake);Timbaland;2009;116;232;Solo;dance pop;0
If We Ever Meet Again (Featuring Katy Perry);Timbaland;2009;126;293;Solo;dance pop;0
Pass Out;Tinie Tempah;2010;91;268;Solo;dance pop;0
Written in the Stars (feat. Eric Turner);Tinie Tempah;2010;123;208;Solo;dance pop;0
Hey Soul Sister;Train;2010;97;217;Band;dance pop;0
Billionaire (feat. Bruno Mars);Travie McCoy;2010;87;211;Solo;dance pop;0
Bottoms Up (feat. Nicki Minaj);Trey Songz;2010;74;242;Solo;dance pop;1
Say Aah (feat. Fabolous);Trey Songz;2009;93;208;Solo;dance pop;1
What You Know;Two Door Cinema Club;2010;139;192;Band;indie rock;1
DJ Got Us Fallin' In Love (feat. Pitbull);Usher;2010;120;221;Solo;atl hip hop;0
OMG (feat. will.i.am);Usher;2010;130;269;Solo;atl hip hop;0
Hey Daddy (Daddy's Home);Usher;2010;96;224;Solo;atl hip hop;0
No Hands (feat. Roscoe Dash & Wale);Waka Flocka Flame;2010;131;264;Solo;atl hip hop;0
We No Speak Americano (Edit);Yolanda Be Cool;2020;125;157;Duo;australian dance;1
BedRock;Young Money;2009;148;288;Band;dance pop;0
Rolling in the Deep;Adele;2011;105;228;Solo;british soul;0
Set Fire to the Rain;Adele;2011;108;243;Solo;british soul;0
Mr. Saxobeat;Alexandra Stan;2011;127;195;Solo;dance pop;0
What the Hell;Avril Lavigne;2011;150;221;Solo;canadian pop;0
Lighters;Bad Meets Evil;2011;90;304;Duo;detroit hip hop;1
Love On Top;Beyoncé;2011;94;267;Solo;dance pop;0
Best Thing I Never Had;Beyoncé;2011;99;254;Solo;dance pop;0
Skinny Love;Birdy;2011;166;201;Solo;pop;0
Just Can’t Get Enough;Black Eyed Peas;2010;94;219;Band;dance pop;0
Honey Bee;Blake Shelton;2011;206;211;Solo;contemporary country;0
Holocene;Bon Iver;2011;148;337;Band;eau claire indie;0
I Wanna Go;Britney Spears;2011;130;210;Solo;dance pop;0
Till the World Ends;Britney Spears;2011;132;238;Solo;dance pop;0
Grenade;Bruno Mars;2010;110;222;Solo;dance pop;0
Marry You;Bruno Mars;2010;145;230;Solo;dance pop;0
The Lazy Song;Bruno Mars;2010;175;189;Solo;dance pop;0
Bounce (feat. Kelis) - Radio Edit;Calvin Harris;2012;128;222;Solo;dance pop;1
Blind Faith;Chase & Status;2011;140;234;Duo;dancefloor dnb;0
Champion (feat. Chris Brown);Chip;2011;190;237;Solo;grime;0
Look At Me Now (feat. Lil' Wayne & Busta Rhymes);Chris Brown;2011;146;223;Solo;dance pop;1
Yeah 3x;Chris Brown;2011;130;242;Solo;dance pop;1
Beautiful People;Chris Brown;2019;128;226;Solo;dance pop;1
Jar of Hearts;Christina Perri;2011;75;247;Solo;dance pop;0
You Make Me Feel... (feat. Sabi);Cobra Starship;2011;132;216;Band;dance pop;0
Paradise;Coldplay;2011;140;279;Band;permanent wave;1
Every Teardrop Is a Waterfall;Coldplay;2011;118;241;Band;permanent wave;1
Where Them Girls At (feat. Nicki Minaj & Flo Rida);David Guetta;2011;130;210;Solo;big room;0
Who's That Chick? (feat. Rihanna);David Guetta;2010;128;201;Solo;big room;0
Coming Home;Diddy - Dirty Money;2010;168;239;Duo;hip pop;0
Louder;DJ Fresh;2012;140;207;Solo;dancefloor dnb;0
I'm On One;DJ Khaled;2011;149;296;Solo;dance pop;1
I Need A Doctor;Dr. Dre;2011;156;284;Solo;g funk;1
Headlines;Drake;2011;152;236;Solo;canadian hip hop;1
The A Team;Ed Sheeran;2011;85;258;Solo;pop;1
Lego House;Ed Sheeran;2011;160;185;Solo;pop;1
Stereo Love - Radio Edit;Edward Maya;2010;127;185;Solo;romanian house;0
Tonight (I'm Fuckin' You);Enrique Iglesias;2010;126;232;Solo;dance pop;0
Springsteen;Eric Church;2011;104;263;Solo;contemporary country;0
Changed the Way You Kiss Me - Radio Edit;Example;2011;127;195;Solo;dance pop;0
Rocketeer;Far East Movement;2010;96;211;Band;asian american hip hop;1
Shake It Out;Florence + The Machine;2011;107;278;Band;baroque pop;0
Pumped Up Kicks;Foster The People;2011;128;240;Band;indietronica;0
Tongue Tied;Grouplove;2011;113;218;Band;indie pop;0
Stereo Hearts (feat. Adam Levine);Gym Class Heroes;2011;90;211;Band;dance pop;0
Tonight Tonight;Hot Chelle Rae;2011;100;200;Band;dance pop;0
Dirt Road Anthem;Jason Aldean;2010;127;229;Solo;contemporary country;0
It Girl;Jason Derulo;2011;92;192;Solo;dance pop;1
Don't Wanna Go Home;Jason Derulo;2011;122;206;Solo;dance pop;1
On The Floor;Jennifer Lopez;2011;130;285;Solo;dance pop;0
Down On Me;Jeremih;2010;160;228;Solo;chicago rap;0
Do It Like A Dude;Jessie J;2011;140;195;Solo;dance pop;0
All Of The Lights;Kanye West;2010;142;300;Solo;chicago rap;1
Last Friday Night (T.G.I.F.);Katy Perry;2012;126;231;Solo;dance pop;0
Firework;Katy Perry;2010;124;228;Solo;dance pop;0
E.T.;Katy Perry;2012;152;230;Solo;dance pop;0
Motivation;Kelly Rowland;2011;141;231;Solo;atl hip hop;1
Pretty Girl Rock;Keri Hilson;2010;160;244;Solo;dance pop;0
We R Who We R;Kesha;2010;120;205;Solo;dance pop;0
Blow;Kesha;2010;120;220;Solo;dance pop;0
Earthquake (feat. Tinie Tempah);Labrinth;2012;153;275;Solo;indie poptimism;0
Just A Kiss;Lady A;2011;143;219;Band;contemporary country;0
Born This Way;Lady Gaga;2011;124;260;Solo;art pop;0
The Edge Of Glory;Lady Gaga;2011;128;321;Solo;art pop;0
